file,wave1_min,wave1_max,wave2_min,wave2_max
HARPS.2018-03-29T06:33:21.929,589.1685210938598,589.1842997827371,589.7681887266908,589.7834678700766
HARPS.2018-03-29T06:48:53.411,589.168472352219,589.184251039791,589.7681399354399,589.7834190775615
HARPS.2018-03-29T07:04:24.413,589.1684240796225,589.1842027659017,589.7680916137106,589.7833707545802
HARPS.2018-03-29T07:19:55.404,589.168377686783,589.1841563718195,589.7680451736513,589.783324313318
HARPS.2018-03-29T07:36:39.719,589.1683266135418,589.1841052972106,589.7679940484269,589.7832731867691
HARPS.2018-03-29T07:52:10.411,589.168281518625,589.1840602010861,589.7679489076115,589.7832280447842
HARPS.2018-03-30T05:41:37.996,589.1679594558578,589.1837380220154,589.7676213617844,589.7829003429988
HARPS.2018-03-30T05:57:09.427,589.1679106757351,589.1836892405863,589.7675725320129,589.7828515119621
HARPS.2018-03-30T06:12:40.418,589.1678622462956,589.1836408098499,589.7675240532812,589.7828030319747
HARPS.2018-03-30T08:22:46.842,589.1674733900544,589.1832519431946,589.7671348012577,589.7824137698667
HARPS.2018-03-30T08:38:17.403,589.1674315022342,589.1832100542526,589.7670928708036,589.7823718383264
HARPS.2018-03-30T08:53:48.465,589.1673916089089,589.183170159859,589.7670529368744,589.7823319033627
HARPS.2018-03-31T03:39:16.713,589.1675528202754,589.1833314566198,589.767218600896,589.7824977150111
HARPS.2018-03-31T03:54:47.425,589.1675116044408,589.1832902396814,589.767177343111,589.7824564561574
HARPS.2018-03-31T06:35:19.070,589.167030014796,589.1828086371389,589.7666952632952,589.7819743638523
HARPS.2018-03-31T06:50:49.413,589.1669819310238,589.182760552079,589.7666471305824,589.7819262298926
HARPS.2018-03-31T08:28:24.178,589.1666973828201,589.1824759962548,589.7663622927603,589.7816413846912
HARPS.2018-03-31T08:43:55.480,589.1666563830787,589.1824349954153,589.7663212512886,589.7816003421561
